Title,Price,Special Price,Link,Site
Orient electric Areva fan heater|2000W power|2 heating modes...,3590,1299,https://dealsheaven.in/deal/orient-electric-areva-fh20wp-20001000-watts-fan-room-heater-with-adjustable-thermostat-white,Amazon
Maharaja Viva Steller Electric Kettle | 1.5L | 1350W Power |...,1350,649,https://dealsheaven.in/deal/maharaja-viva-steller-electric-kettle-15l-1350w-power-stainless-steel-kettle-dry-boil-protection-concealed-heating-element-overheating-protection-auto-shut-off-1-yr-warranty,Amazon
Nike Girl's 100% Cotton Above The Knee Dress (CK2776-101_Whi...,2495,824,https://dealsheaven.in/deal/nike-girls-100-cotton-above-the-knee-dress-ck2776-101-whitebleached-coralblack-m,Amazon
Portronics Adapto 62 2.4A 12W Mach USB Port USB Fast Wall Ch...,399,169,https://dealsheaven.in/deal/portronics-adapto-62-usb-wall-adapter-without-cable-24a-fast-charging-single-usb-port-for-all-ios-android-devices-black,Amazon
"KARACHI BAKERY KARACHI HALWA,200g",150,85,https://dealsheaven.in/deal/karachi-bakery-karachi-halwa200g,Amazon
GANESH Plastic Quadra Tea Coaster Set for Dining Table for H...,156,98,https://dealsheaven.in/deal/ganesh-plastic-quadra-tea-coaster-set-for-dining-table-for-hot-pots-coasters-for-cups-set-of-6,Amazon
Kwality Pani Puri kit 43 pcs with 2 Different Flavours Sweet...,100,60,https://dealsheaven.in/deal/kwality-pani-puri-kit-43-pcs-with-2-different-flavours-sweet-and-spicy-pani-powder-150g-pack-1,Amazon
Nike Girl's Fitted T-Shirt (CN0836-010_Black L),1195,539,https://dealsheaven.in/deal/nike-girls-fitted-t-shirt-cn0836-010-black-l,Amazon
Safari ARC Polyester 55 cms Blue Travel Duffle (ARC55RLBLU),13620,1199,https://dealsheaven.in/deal/safari-arc-polyester-55-cms-blue-travel-duffle-arc55rlblu,Amazon
Good Karma 2 Ply Eco-Friendly Unbleached Facial Tissue Box |...,400,98,https://dealsheaven.in/deal/good-karma-2-ply-eco-friendly-unbleached-facial-tissue-box-car-tissue-pack-of-2-100-pulls-per-box-200-sheets,Amazon
"PHILIPS Hue Gen 3 Smart Light E27 Color Ambiance 9W Bulb, Bl...",0,220,https://dealsheaven.in/deal/philips-hue-gen-3-smart-light-e27-color-ambiance-9w-bulb-bluetooth-zigbee-compatible-hue-bridge-optional-compatible-with-alexa-google-assistant-white-pack-of-1,Amazon
Aristo Store Queen111 Plastic Storage Container-320 ml (4 PC...,130,84,https://dealsheaven.in/deal/aristo-store-queen111-plastic-storage-container-320-ml-4-pcs-set,Amazon
Attro Helix Plastic Unbreakable Fridge 1000ml Water Bottle f...,300,79,https://dealsheaven.in/deal/attro-helix-plastic-unbreakable-fridge-1000ml-water-bottle-for-office-sports-school-travelling-gym-yoga-bpa-and-leak-free-assorted-set-of-2,Amazon
"AMIFIT Premium Hand Grip Strengthener with Foam Handle, Hand...",399,69,https://dealsheaven.in/deal/amifit-premium-hand-grip-strengthener-with-foam-handle-hand-gripper-for-men-women-for-gym-workout-hand-exercise-equipment-to-use-in-home-blue-black,Amazon
Havells Vestio Steam Iron Press 1600 Watts With Anti Drip Se...,2549,1649,https://dealsheaven.in/deal/havells-vestio-steam-iron-press-1600-watts-with-anti-drip-self-cleaning-function-horizontal-vertical-steam-non-stick-coated-sole-plate-2-years-manufacturer-warranty-blue,Amazon
Reebok Men Synthetic/Textile Fitness 24/7 M Running Shoes Bl...,3299,1020,https://dealsheaven.in/deal/reebok-men-synthetictextile-fitness-247-m-running-shoes-blackgolden-bronze-uk-8,Amazon
[Apply coupon] Amazon Basics 400 mm 2-in-1 BLDC Pedestal Fan...,6699,2799,https://dealsheaven.in/deal/amazon-basics-400-mm-2-in-1-bldc-pedestal-fan-with-remote-control-and-26-speed-fuctions-5-star-rated-with-efficient-copper-motor-white,Amazon
"Haans AB Roller Wheel for Muscle Training, Tighten Waist and...",1999,335,https://dealsheaven.in/deal/haans-ab-roller-wheel-for-muscle-training-tighten-waist-and-abdomen-abdominal-exercise-core-workout-gym-equipment-for-men-and-women-orange,Amazon
Wahl 1411.0010 Corded Trimmer (Black),3500,699,https://dealsheaven.in/deal/wahl-14110010-corded-trimmer-black,Amazon
"Haans AB Roller Wheel for Muscle Training, Tighten Waist and...",1999,373,https://dealsheaven.in/deal/haans-ab-roller-wheel-for-muscle-training-tighten-waist-and-abdomen-abdominal-exercise-core-workout-gym-equipment-for-men-and-women-blue,Amazon
Campus Men's Ignite PRO BLU/RED Running Shoes - 6UK/India 22...,1099,459,https://dealsheaven.in/deal/campus-mens-ignite-pro-blured-running-shoes-6ukindia-22g-287,Amazon
VW Sonic Bar | 120W Soundbar | 2.1 Channel Home Theatre | 5....,16999,3999,https://dealsheaven.in/deal/vw-sonic-bar-120w-soundbar-21-channel-home-theatre-525-wired-subwoofer-multiple-connectivity-sleek-design-black,Amazon
Park Avenue Men Neo Signature Collection | Deodorant Spray |...,500,199,https://dealsheaven.in/deal/park-avenue-men-neo-signature-collection-deodorant-spray-fresh-long-lasting-aroma-150ml-each-pack-of-2,Amazon
Campus Men's Brazil PRO Full BLK/Golden Training/Gym Shoes -...,1599,611,https://dealsheaven.in/deal/campus-mens-brazil-pro-full-blkgolden-traininggym-shoes-6ukindia-11g-749,Amazon
Happer Plastic Premium Multipurpose Wall Mounted Storage Cab...,2086,999,https://dealsheaven.in/deal/happer-plastic-premium-multipurpose-wall-mounted-storage-cabinet-with-mirror-prime-look-black,Amazon
crocs Unisex Adult Classic Spray Dye Flip WHI/MLTI White Sli...,2295,1052,https://dealsheaven.in/deal/crocs-unisex-adult-classic-spray-dye-flip-whimlti-white-slipper-208056-94s,Amazon
Puma Mens Foam Stride Navy-Fizzy Lime-White Running Shoe - 9...,4499,1349,https://dealsheaven.in/deal/puma-mens-foam-stride-navy-fizzy-lime-white-running-shoe-9uk-37999202,Amazon
Campus Men's Callisto BLU/F.GRN Walking Shoes - 8UK/India 22...,2199,780,https://dealsheaven.in/deal/campus-mens-callisto-blufgrn-walking-shoes-8ukindia-22g-149a,Amazon
new balance Drift Men Running Sport Shoe Light Aluminum/Lead...,4999,1444,https://dealsheaven.in/deal/new-balance-drift-men-running-sport-shoe-light-aluminumlead-uk-8,Amazon
DERMATOUCH Salicylic Acid 2% Face Wash | For Acne & Oil Cont...,299,168,https://dealsheaven.in/deal/dermatouch-salicylic-acid-2-face-wash-for-acne-oil-control-suitable-to-all-skin-types-for-both-men-women-100ml,Amazon
"FCUK New Tide Smart Watch|1.39"" Round Display| 360x360 High...",7999,799,https://dealsheaven.in/deal/fcuk-new-tide-smart-watch139-round-display-360x360-high-resolution-singlesync-bt-callingbuilt-in-ai-voice-assistant-premium-textured-strapsupto-5-day-battery120-sports-modes-fcsw01-d,Amazon
"Halonix 2-in-1 Dimmable 9W,0.5W Multi Wattage Adjustable Lig...",399,169,https://dealsheaven.in/deal/halonix-2-in-1-all-rounder-9w05w-b22-led-bulb-cool-white-off-whitepack-of-2-multi-wattage-with-adjustable-led-light,Amazon
Status Contract Bath Towels |(120 X 60 Cm) Coral Fleece Quic...,1499,211,https://dealsheaven.in/deal/status-contract-bath-towels-120-x-60-cm-coral-fleece-quick-dry-towel-super-absorbent-soft-luxury-bath-towels-with-hook-hair-towel-for-men-women-red-set-of-3-350-tc-polyester-blend,Amazon
"UV-Squad De-tan Clay Mask with Niacinamide, 100 gm",549,99,https://dealsheaven.in/deal/uv-squad-de-tan-clay-mask-with-niacinamide-100-gm,Amazon
Bata Comfit Women's Crystal Thong Red Sandal-4 Kids UK (5715...,1299,447,https://dealsheaven.in/deal/bata-comfit-womens-crystal-thong-red-sandal-4-kids-uk-5715137,Amazon
WONDERCUT Wc-Ed13-R Impact Drill Machine Reversible Hammer D...,4099,1085,https://dealsheaven.in/deal/wondercut-wc-ed13-r-impact-drill-machine-reversible-hammer-driver-variable-speed-screwdriver-13mm-650w-red,Amazon
"Vim Shudhham Gel for Copper, Brass, Silver, 250ml (Pack of 2...",300,60,https://dealsheaven.in/deal/vim-shudhham-gel-for-copper-brass-silver-250ml-pack-of-2,Amazon
"GM Excel35 Ceiling Fan White 1200 MM 380 RPM, 5 Star Rated,...",4700,2454,https://dealsheaven.in/deal/gm-excel35-ceiling-fan-white-1200-mm-380-rpm-5-star-rated-energy-efficient-bldc-motorwith-remote-control-prelubricated-closed-type-double-ball-bearing-high-air-thurst-suitable-for-liing-room,Amazon
Morphy Richards Kingsman Elite | 3-in-1 Multipurpose Trimmer...,1999,999,https://dealsheaven.in/deal/morphy-richards-kingsman-elite-3-in-1-multipurpose-trimmer-for-men-grooming-kit-trimmer-shaver-nose-ear-trimmerusb-rechargeablestainless-steel-bladesquick-charge2-yr-warrantygift-for-him,Amazon
More Light Extra Power Liquid Detergent 5 Litre Pouch with E...,525,329,https://dealsheaven.in/deal/more-light-extra-power-liquid-detergent-5-litre-pouch-with-enzymatic-action-removes-tough-stain-laundry-liquid-detergent-with-refreshing-fragrance-for-bucket-wash-top-load-front-load-machines,Amazon
Adidas Womens Speedmotion Legink/NGTMET/BLUDAW Sneaker - 4 U...,8999,2249,https://dealsheaven.in/deal/adidas-womens-speedmotion-leginkngtmetbludaw-sneaker-4-uk-hp5693,Amazon
Rejusure Hyaluronic Acid Facial Serum – Advance Anti – Aging...,600,99,https://dealsheaven.in/deal/rejusure-hyaluronic-acid-facial-serum-advance-anti-aging-hydration-30-ml,Amazon
Reebok Mens Stridium 2.0 Shoes Grey,5599,1280,https://dealsheaven.in/deal/reebok-mens-stridium-20-shoes-grey,Amazon
Blaupunkt BH31 Bluetooth Wireless Over Ear Headphones I 40MM...,2999,1349,https://dealsheaven.in/deal/blaupunkt-bh31-bluetooth-wireless-over-ear-headphones-i-40mm-drivers-i-hd-sound-i-soft-pu-headband-with-built-in-mic-i-turbovolt-fast-charging,Amazon
Amrit Unrefined Double Filtered Cold Pressed Sesame Oil (2L)...,1398,625,https://dealsheaven.in/deal/amrit-unrefined-double-filtered-cold-pressed-sesame-oil-2l-perfect-for-cooking-at-home-cafes-restaurants-and-hotels-supports-bone-health-improves-blood-circulation-promotes-heart-wellness,Amazon
